loan_id,customer_id,account_id,loan_type,principle,interest,term_months,status,start_date,end_date
67,36651,63774,Personal,0.0,8.3,40,Closed,2023-09-06,2026-01-10
68,36618,54147,Home,242108.52,11.15,29,Active,2024-11-28,2028-08-26
69,29846,19438,,363670.8,11.54,14,Active,2026-09-11 19:18:46.871131,2026-12-01
70,49375,4992,Car,-1000.0,13.7,57,Closed,2024-06-21,2027-11-01
71,273,28388,Personal,0.0,-5.0,20,Active,2025-09-03,2027-10-17
72,47338,31664,Home,285842.57,8.96,49,Closed,2026-11-17 19:18:46.871131,2024-12-25 19:18:46.871131
73,5518,38421,,316147.02,5.94,42,Closed,2026-04-20 19:18:46.871131,2030-02-03
74,38578,3763,,299465.23,11.23,30,Active,2023-07-04,2025-08-12 19:18:46.871131
75,25009,63106,Home,0.0,9.64,33,Closed,2023-04-01,2025-05-26
76,25278,68673,Car,289350.14,5.0,60,Closed,2023-06-20,2025-06-07 19:18:46.871131
77,5170,18395,Home,211182.4,-5.0,37,Active,2025-12-05,2025-07-21 19:18:46.871131
78,10054,67945,Home,-1000.0,11.87,38,Closed,2025-07-07,2026-10-26
79,40653,53026,Car,-1000.0,11.9,23,Closed,2023-02-23,2024-10-07
80,6799,54499,Home,-1000.0,6.05,0,Closed,2024-10-10,2024-12-25 19:18:46.871131
81,26928,46145,Car,415493.99,8.76,31,Active,2025-02-25,2026-03-31
82,22596,157,Car,0.0,12.55,35,Closed,2023-08-05,2024-09-22
83,42681,37731,Home,0.0,-5.0,24,Closed,2027-03-03 19:18:46.871131,2027-02-03
84,25014,45739,Car,226966.36,13.06,54,Active,2027-06-21 19:18:46.871131,2025-03-25
85,10549,14081,Personal,0.0,10.35,18,Active,2025-08-15,2029-05-26
86,42922,12568,,151104.54,8.95,0,Active,2024-10-28,2028-08-20
87,35575,13145,,270879.03,-5.0,37,Closed,2027-02-28 19:18:46.871131,2026-12-19
88,47035,67833,Personal,439053.64,10.54,0,Closed,2025-08-07,2027-05-23
89,15643,56939,Home,402624.13,-5.0,0,Closed,2023-10-18,2024-05-08
90,43719,44672,Car,104231.66,12.7,49,Closed,2027-02-14 19:18:46.871131,2028-01-28
91,41820,62144,,250125.54,12.38,15,Active,2024-04-18,2025-08-04 19:18:46.871131
92,25421,8171,Personal,415628.92,8.35,15,Closed,2025-05-14,2028-11-14
93,22102,52609,Car,-1000.0,9.7,26,Closed,2027-05-09 19:18:46.871131,2026-06-20
94,5754,46118,Car,171141.26,9.34,54,Closed,2026-07-11 19:18:46.871131,2024-09-27
95,11629,67395,Home,147614.55,5.65,0,Active,2025-03-13,2025-10-12 19:18:46.871131
96,11787,6802,Car,0.0,13.9,0,Closed,2024-05-20,2024-11-07
97,10360,65278,Personal,138445.83,13.23,57,Active,2026-03-24 19:18:46.871131,2025-05-12
98,6134,21111,Personal,13609.75,7.4,23,Closed,2025-11-29,2026-04-23
99,30912,15696,,120914.28,9.23,57,Closed,2026-04-19 19:18:46.871131,2024-04-09
100,41814,5473,Personal,0.0,10.33,29,Active,2025-06-05,2028-11-14
101,15361,12861,Car,44700.62,6.13,45,Active,2026-05-21 19:18:46.871131,2026-08-31
102,10423,1186,Home,261349.71,11.88,0,Active,2025-11-30,2028-02-05
103,16961,5942,,37861.19,12.48,53,Closed,2026-09-10 19:18:46.871131,2026-01-15
104,46039,51305,Personal,244559.55,8.78,13,Active,2025-02-20,2026-09-06
105,32548,23836,Personal,204685.71,13.15,28,Active,2023-05-31,2025-07-02 19:18:46.871131
106,42344,67311,,468710.55,14.65,38,Closed,2024-01-28,2025-03-26
107,29986,51900,,215643.86,13.62,51,Closed,2026-02-15,2030-01-30
108,27845,4705,Home,285795.56,9.18,0,Closed,2024-04-16,2026-08-13
109,7449,58192,Car,393536.57,-5.0,37,Active,2026-05-26 19:18:46.871131,2028-01-11
110,268,21947,Personal,0.0,13.2,40,Active,2024-06-20,2027-08-29
111,21875,48962,Personal,362084.25,9.06,0,Active,2025-05-09,2026-09-10
112,12254,12157,Personal,0.0,5.73,42,Closed,2026-10-12 19:18:46.871131,2027-03-27
113,27352,24608,Car,486786.29,7.19,0,Closed,2023-02-26,2024-03-27
114,17374,34895,Car,-1000.0,-5.0,21,Closed,2023-09-20,2027-01-20
115,4084,11659,Home,474050.12,6.53,59,Active,2023-10-14,2024-11-06
116,39938,35616,,67408.75,8.99,47,Closed,2023-06-02,2023-12-17
117,12464,5546,Home,82570.43,8.5,38,Active,2026-07-30 19:18:46.871131,2027-04-06
118,24456,29726,Home,-1000.0,12.81,25,Closed,2025-09-30,2025-11-02 19:18:46.871131
119,7512,64855,Personal,27572.22,14.45,37,Active,2025-07-01,2029-04-09
120,13146,24633,Car,292080.93,-5.0,13,Closed,2023-05-10,2024-02-02
121,23548,43367,Personal,0.0,7.82,28,Active,2024-01-28,2024-11-06
122,19912,31773,Personal,140171.38,-5.0,0,Active,2023-03-15,2025-09-13 19:18:46.871131
123,29225,52250,Personal,78479.1,7.79,13,Closed,2023-06-13,2025-07-01
124,39339,29108,Personal,50244.53,8.29,49,Closed,2023-09-05,2024-05-25
125,8777,25896,,468460.38,8.81,0,Closed,2025-11-01,2029-02-03
126,47710,29245,Car,335626.81,5.6,46,Active,2023-09-08,2024-06-12
127,9447,44398,Personal,67592.63,8.27,39,Closed,2025-10-04,2025-04-27 19:18:46.871131
128,47409,25213,Car,194277.09,10.18,54,Active,2024-02-12,2025-02-19 19:18:46.871131
129,3448,30404,Personal,420969.59,13.24,47,Active,2026-02-09,2029-08-16
130,23841,10221,Home,412005.1,-5.0,0,Closed,2027-02-11 19:18:46.871131,2029-07-03
131,4759,12432,Personal,0.0,14.0,30,Active,2027-04-03 19:18:46.871131,2023-09-09
132,1463,69365,Car,-1000.0,9.2,26,Active,2026-07-20 19:18:46.871131,2025-05-14
133,1317,33811,Car,386708.33,-5.0,21,Closed,2024-11-14,2028-03-24
134,12932,6051,,225276.09,-5.0,29,Active,2023-05-29,2025-03-04
135,548,8598,Personal,352955.18,6.96,0,Closed,2023-06-07,2024-02-26
136,22676,8544,Home,337687.75,7.64,50,Closed,2027-05-25 19:18:46.871131,2026-10-27
137,40382,35792,Car,449419.06,-5.0,29,Active,2026-10-21 19:18:46.871131,2026-03-18
138,1277,1010,Personal,221952.91,10.03,19,Active,2026-08-20 19:18:46.871131,2026-04-28
139,14130,13327,Home,250052.26,5.36,45,Closed,2024-03-07,2025-02-27
140,21126,15041,,392703.82,8.94,46,Active,2024-08-15,2028-03-18
141,6556,37849,Home,380898.97,-5.0,48,Closed,2026-07-22 19:18:46.871131,2027-09-15
142,8000,61367,Home,0.0,8.88,30,Active,2025-11-22,2025-11-16 19:18:46.871131
143,48853,66625,Car,323309.51,6.12,38,Closed,2024-02-12,2027-07-06
144,24758,25273,Home,387103.67,10.19,0,Active,2024-10-20,2027-09-24
145,29122,17368,,254994.49,6.95,24,Closed,2025-11-20,2027-03-11
146,12132,50470,,307569.83,9.76,25,Active,2023-12-27,2026-08-31
147,28978,950,,103782.59,10.02,0,Active,2025-04-06,2027-06-17
148,6060,43078,Home,234785.63,8.76,57,Active,2024-03-13,2025-04-04 19:18:46.871131
149,33698,27425,Personal,433597.16,11.52,14,Active,2027-02-02 19:18:46.871131,2028-07-16
150,11292,21789,Personal,412313.84,6.33,49,Closed,2026-12-06 19:18:46.871131,2025-12-06
151,24961,47689,Personal,0.0,6.0,0,Closed,2027-02-08 19:18:46.871131,2027-09-10
152,48863,24423,Home,462349.34,-5.0,36,Closed,2024-12-07,2028-05-27
153,9904,7286,Home,415448.06,10.84,25,Active,2023-04-05,2025-10-28
154,32377,24918,Personal,413726.5,11.57,38,Closed,2023-10-30,2027-02-26
155,2588,6793,Home,199547.34,14.23,21,Closed,2025-04-30,2025-11-25
156,6474,1728,Car,432039.82,12.87,18,Active,2024-06-17,2027-08-09
157,9475,6783,Home,282169.78,14.59,34,Active,2023-08-05,2027-08-03
158,9857,66160,Personal,368317.61,-5.0,19,Active,2024-11-20,2028-02-08
159,25370,17986,Car,0.0,5.88,0,Active,2024-10-13,2027-03-16
160,25647,15587,,451046.04,5.73,31,Closed,2024-04-23,2025-12-01
161,11391,48503,Home,387389.06,-5.0,0,Active,2023-04-13,2025-11-02
162,17740,58507,Car,338792.54,5.54,13,Closed,2023-04-03,2024-01-18
163,45917,10247,Home,0.0,-5.0,39,Closed,2025-10-18,2029-09-16
164,19570,52690,Home,497154.51,-5.0,44,Active,2024-04-15,2027-02-19
165,15869,44028,Car,415710.75,11.81,43,Closed,2025-08-21,2027-11-26
166,45396,58427,Home,24480.05,5.54,21,Closed,2025-03-06,2025-12-13
167,44533,66984,Car,377148.79,-5.0,59,Closed,2024-06-19,2027-11-02
168,42453,36802,Home,232615.9,14.87,25,Closed,2023-09-07,2027-09-24
169,31985,4654,,191265.05,13.58,51,Active,2023-10-01,2024-01-17
170,10488,37287,Home,241270.88,-5.0,34,Closed,2025-07-26,2026-11-18
171,46478,24253,,51820.49,10.14,24,Active,2025-02-05,2028-01-03
172,36179,46575,,86447.7,7.39,59,Active,2023-07-29,2024-08-07
173,12243,9111,Car,398096.53,6.43,15,Closed,2023-05-29,2026-05-13
174,6964,19129,,340378.97,-5.0,41,Closed,2024-01-08,2024-11-12
175,4579,14459,Personal,-1000.0,-5.0,43,Active,2026-04-06 19:18:46.871131,2025-11-12 19:18:46.871131
176,11741,29509,,320291.6,-5.0,0,Closed,2026-09-08 19:18:46.871131,2029-10-10
177,44376,1401,Car,289985.62,8.09,23,Active,2024-08-09,2026-12-03
178,41407,34852,Home,379289.26,6.87,45,Closed,2025-09-04,2028-10-13
179,42561,10846,,408859.81,11.23,30,Active,2026-02-06,2029-07-14
180,13633,45313,,-1000.0,5.31,32,Closed,2023-08-18,2025-12-08 19:18:46.871131
181,46124,14945,Car,-1000.0,7.89,15,Active,2024-02-23,2025-02-07
182,17475,68698,Home,372360.79,10.02,0,Active,2023-09-29,2025-03-02
183,4828,29920,,50009.06,11.58,20,Closed,2024-02-29,2025-07-31
184,42898,8478,,399740.54,8.04,36,Closed,2026-01-19,2027-11-02
185,19365,24972,Home,74081.87,14.23,47,Active,2026-10-16 19:18:46.871131,2025-07-14
186,131,18585,,0.0,13.95,31,Closed,2025-05-24,2028-03-11
187,46231,53745,Personal,98207.69,-5.0,41,Active,2023-12-21,2025-03-28
188,39358,44916,Home,492409.79,-5.0,35,Active,2023-10-05,2025-06-23
189,45490,2726,Personal,113895.25,8.93,54,Closed,2024-02-13,2025-05-01
190,8989,2450,Personal,466956.93,6.09,0,Active,2024-11-29,2027-09-22
191,40836,27337,Personal,496208.43,7.64,0,Closed,2023-06-12,2024-06-10
192,34462,28310,Car,224316.31,-5.0,60,Closed,2026-09-03 19:18:46.871131,2027-05-22
193,46965,68166,Home,0.0,-5.0,36,Active,2024-08-08,2025-05-17
194,30009,28803,Car,0.0,14.74,47,Closed,2023-02-18,2026-10-12
195,990,58465,Car,20028.08,-5.0,20,Active,2024-03-21,2025-11-18
196,46023,67384,,334220.8,6.89,33,Closed,2023-07-28,2024-12-11
197,36520,19520,Car,310449.91,-5.0,51,Closed,2024-05-16,2025-10-23
198,36978,34366,,0.0,6.74,35,Active,2027-07-01 19:18:46.871131,2026-03-21
199,39097,8653,Personal,32850.06,11.51,32,Active,2025-03-13,2025-09-10 19:18:46.871131
200,45714,34388,Personal,300921.98,6.29,0,Active,2023-05-31,2027-04-12
201,27925,45445,Home,328240.18,13.09,0,Active,2024-01-28,2024-12-07
202,7498,69017,Car,184333.22,13.78,0,Active,2026-09-24 19:18:46.871131,2025-05-12 19:18:46.871131
203,6018,30300,Car,0.0,9.44,32,Closed,2023-09-12,2025-07-23 19:18:46.871131
204,12255,1398,Personal,77069.66,8.95,50,Closed,2025-04-08,2029-03-30
205,23699,60835,Home,324468.77,-5.0,34,Active,2023-06-12,2026-02-05 19:18:46.871131
206,9417,46209,Personal,155794.29,8.56,18,Closed,2024-04-03,2025-02-25
207,24073,17880,Personal,222204.41,11.15,14,Active,2025-03-11,2025-10-16 19:18:46.871131
208,45144,54117,Car,311191.43,5.25,25,Closed,2024-06-12,2025-06-24 19:18:46.871131
209,11399,61797,Car,378030.3,13.63,44,Active,2024-11-30,2025-12-31
210,12179,51169,Home,82656.26,-5.0,0,Active,2023-09-22,2025-06-30 19:18:46.871131
211,28417,45287,Personal,0.0,5.37,46,Closed,2024-07-31,2028-05-24
212,48051,2614,,0.0,14.35,56,Active,2024-08-31,2026-05-31
213,46243,62158,Personal,299306.77,11.69,14,Active,2023-06-08,2024-11-09
214,28877,14273,Home,398733.31,13.0,59,Active,2024-07-30,2025-09-11 19:18:46.871131
215,4470,6613,Car,490757.97,-5.0,24,Active,2024-03-25,2025-12-04 19:18:46.871131
216,44066,53243,Home,30745.12,6.47,0,Active,2024-05-07,2025-10-25 19:18:46.871131
217,24113,1749,Home,422599.8,-5.0,37,Closed,2024-05-18,2025-09-25 19:18:46.871131
218,3050,66840,Home,330461.01,8.42,57,Closed,2024-10-05,2027-11-01
219,41805,8413,Personal,203847.62,11.37,0,Closed,2025-01-09,2028-03-02
220,35784,17827,,236499.91,9.77,13,Active,2024-10-20,2028-03-04
221,44565,58191,,317627.99,13.04,59,Closed,2024-07-26,2028-01-27
222,45839,49186,Home,213966.54,10.56,15,Closed,2026-03-05 19:18:46.871131,2026-11-01
223,11166,67468,Home,379815.85,14.11,52,Closed,2024-09-30,2025-07-08
224,33726,50238,Car,190062.7,-5.0,60,Closed,2024-06-02,2025-02-03
225,1490,46193,Personal,0.0,14.85,0,Active,2024-05-07,2026-05-26
226,49654,2817,Personal,274882.17,14.0,59,Closed,2025-01-31,2026-12-13
227,17328,19903,Home,222730.4,9.15,25,Closed,2023-11-19,2026-06-05
228,43328,6240,Home,196579.02,-5.0,12,Closed,2023-04-28,2026-05-20
229,30729,30620,,0.0,11.3,0,Closed,2025-01-01,2027-03-30
230,7587,4009,,412562.63,11.48,36,Closed,2024-10-23,2025-06-01
231,26799,27346,,488081.48,5.29,19,Active,2025-12-07,2026-12-15
232,49126,18063,Personal,396021.79,5.56,43,Active,2024-10-21,2026-03-07
233,22243,6084,Car,0.0,-5.0,38,Active,2027-06-28 19:18:46.871131,2026-05-15
234,33301,46092,Home,234485.13,11.49,0,Active,2023-03-09,2024-04-25
235,22264,12611,Home,284130.53,7.0,42,Active,2023-04-03,2026-01-17 19:18:46.871131
236,33816,44405,Personal,33918.64,11.2,15,Active,2024-12-10,2028-08-27
237,42931,56532,,0.0,12.01,0,Closed,2023-03-14,2026-10-31
238,31890,62807,Home,54806.19,14.04,55,Closed,2024-01-12,2025-11-17
239,10181,35155,Car,498387.27,10.51,43,Active,2024-12-05,2025-02-21 19:18:46.871131
240,28736,31120,Car,475876.33,7.77,0,Active,2024-05-23,2024-10-26
241,4598,35689,Car,0.0,5.33,23,Active,2024-12-17,2027-08-23
242,15371,14264,Car,132297.08,9.42,0,Active,2023-12-22,2025-03-02 19:18:46.871131
243,26612,6865,Car,483684.95,8.63,38,Active,2024-05-08,2025-05-29
244,1269,46911,Car,391685.7,10.56,28,Closed,2024-05-13,2027-11-11
245,38131,9512,Personal,134093.36,7.72,0,Closed,2023-03-04,2024-11-07
246,35135,32920,Personal,302322.14,5.89,30,Active,2023-06-02,2024-10-20
247,27502,47275,Home,135581.33,10.37,26,Closed,2024-04-24,2024-10-11 19:18:46.871131
248,24506,51266,,236960.48,-5.0,37,Closed,2026-07-03 19:18:46.871131,2025-05-26 19:18:46.871131
249,47040,19042,,387325.02,6.75,48,Active,2025-09-19,2029-10-08
250,10554,40358,Car,433030.58,5.07,52,Active,2024-04-26,2026-08-19
251,25623,1999,,196322.21,6.3,47,Active,2026-02-14,2029-02-28
252,40210,1148,Home,360710.29,9.56,0,Closed,2024-12-23,2026-10-18
253,4641,34189,Personal,328472.56,9.21,41,Active,2024-02-19,2026-10-27
254,38413,58575,Car,11685.97,14.11,48,Active,2023-12-10,2026-03-11
255,23361,51505,Home,223254.28,10.62,27,Active,2024-10-17,2027-07-03
256,15723,25140,,-1000.0,5.24,45,Active,2026-12-05 19:18:46.871131,2025-07-02
257,16019,27991,Car,392023.44,-5.0,54,Closed,2025-10-08,2026-01-16 19:18:46.871131
258,20803,51502,,170204.3,5.12,27,Closed,2026-09-26 19:18:46.871131,2025-12-26 19:18:46.871131
259,17863,57692,,189267.43,9.01,39,Closed,2024-06-06,2026-05-03
260,28985,61238,Car,401462.09,12.76,58,Active,2025-06-06,2026-08-30
261,25255,65114,Personal,0.0,9.54,47,Active,2027-06-10 19:18:46.871131,2027-04-29
262,24924,11487,Car,197865.44,-5.0,0,Closed,2023-11-19,2027-04-01
263,2946,25283,Home,445630.94,5.41,55,Active,2026-08-14 19:18:46.871131,2025-05-01 19:18:46.871131
264,20660,49983,Car,411115.48,9.31,55,Active,2023-09-17,2024-10-04
265,38713,14235,Personal,177278.6,8.49,13,Active,2026-08-02 19:18:46.871131,2026-08-08
266,1586,54073,Personal,36020.67,10.23,31,Closed,2023-10-17,2027-07-09
267,27371,49703,Home,377712.5,14.31,41,Active,2024-05-08,2025-06-17 19:18:46.871131
268,29084,59648,Personal,-1000.0,8.56,45,Closed,2026-04-30 19:18:46.871131,2028-07-28
269,41774,38990,,62433.87,6.17,15,Active,2026-01-07,2028-02-19
270,13289,19628,Home,451360.35,9.61,30,Closed,2026-01-23,2028-01-31
271,38791,12082,Car,111315.62,12.49,36,Active,2024-03-19,2025-02-19 19:18:46.871131
272,33770,20639,,219712.58,14.85,46,Closed,2025-01-10,2025-10-25 19:18:46.871131
273,4509,65078,Home,221783.47,12.57,39,Active,2025-08-10,2026-02-11
274,40756,16860,Car,172875.14,12.65,52,Active,2024-04-11,2025-12-10
275,877,58518,Car,0.0,14.29,0,Active,2024-06-12,2025-08-27
276,37315,52457,Car,-1000.0,8.86,16,Active,2024-08-12,2028-01-16
277,48750,67562,Home,471234.48,7.76,58,Active,2024-07-19,2028-03-02
278,21224,67117,Personal,499785.13,-5.0,0,Active,2026-02-14,2028-08-25
279,10729,24780,Personal,353689.95,5.81,19,Closed,2025-11-21,2028-01-28
280,16284,45726,,-1000.0,8.2,21,Closed,2025-06-17,2026-08-28
281,17590,20018,Home,81983.29,13.73,0,Active,2025-02-03,2026-05-09
282,45974,38308,,-1000.0,5.69,23,Active,2023-08-23,2024-11-18
283,8649,39822,,378961.0,13.16,13,Closed,2023-02-18,2025-05-19
284,9014,29843,Home,410840.03,7.45,53,Active,2023-12-14,2026-05-15
285,15912,26938,,0.0,12.81,19,Closed,2025-08-24,2027-01-01
286,42636,29652,Personal,363952.12,5.85,12,Closed,2023-11-15,2024-12-30
287,49355,59166,Personal,345412.25,8.45,47,Closed,2026-06-19 19:18:46.871131,2026-01-09
288,36841,13939,Personal,290963.42,7.35,14,Closed,2024-02-25,2027-01-12
289,31414,29158,Home,228470.75,5.77,32,Active,2027-05-11 19:18:46.871131,2025-04-13
290,21758,56012,Home,491127.14,11.12,15,Closed,2026-11-21 19:18:46.871131,2026-11-21
291,2008,28934,Car,0.0,14.01,0,Active,2023-04-01,2024-04-12
292,40312,2606,Car,75989.79,13.28,0,Active,2024-01-13,2024-10-29
293,25036,66197,Car,276325.38,12.57,0,Active,2027-03-06 19:18:46.871131,2026-09-19
294,24619,23784,Car,328491.13,-5.0,50,Active,2025-01-25,2028-08-11
295,10700,55389,Home,413871.08,7.64,0,Active,2023-11-21,2024-10-08
296,47393,47826,Personal,149219.69,14.05,56,Active,2027-05-16 19:18:46.871131,2024-03-06
297,9418,34825,Car,269369.01,9.93,39,Closed,2026-04-14 19:18:46.871131,2025-11-18 19:18:46.871131
298,20862,68877,Personal,411399.68,9.93,51,Closed,2023-04-10,2026-02-12 19:18:46.871131
299,33476,59536,Home,198463.07,13.25,56,Active,2025-12-31,2027-06-02
300,38327,69984,Personal,202628.09,11.66,47,Closed,2024-12-17,2027-09-18
301,2287,16076,Personal,311501.7,8.19,47,Active,2025-10-04,2027-06-26
302,31941,40447,Car,-1000.0,13.5,0,Active,2024-01-16,2027-04-16
303,35476,29367,,-1000.0,14.07,36,Closed,2024-03-12,2026-12-20
304,13335,60529,Car,170076.19,11.36,12,Closed,2025-09-21,2025-01-12 19:18:46.871131
305,40285,46869,Car,224262.89,14.43,20,Active,2025-12-03,2026-05-06
306,6580,9056,Personal,140686.35,-5.0,0,Active,2024-02-20,2027-09-06
307,14199,51021,Car,304342.24,6.13,50,Active,2027-02-17 19:18:46.871131,2025-03-21 19:18:46.871131
308,27375,25737,,407514.81,-5.0,54,Closed,2023-04-22,2023-08-16
309,14938,44767,Personal,0.0,13.43,28,Closed,2024-09-25,2026-09-06
310,17022,10533,Car,172537.73,5.57,14,Closed,2026-02-12,2027-04-04
311,16661,33396,Car,143519.4,-5.0,35,Active,2025-09-29,2029-09-08
312,32709,68887,Personal,442489.59,9.9,48,Active,2025-11-11,2027-09-08
313,19512,36923,Home,371311.52,13.39,28,Active,2027-01-05 19:18:46.871131,2028-05-19
314,46222,43436,Car,223985.94,11.43,18,Closed,2024-12-06,2025-10-02
315,49958,35743,Home,396418.83,14.3,45,Closed,2026-09-07 19:18:46.871131,2028-11-20
316,38984,17988,,489705.56,12.03,14,Closed,2025-09-06,2029-01-26
317,7967,45753,Home,24553.27,13.53,32,Closed,2024-02-15,2026-06-19
318,49221,29631,,10029.3,9.02,13,Active,2023-08-06,2026-10-06
319,19714,64918,Car,0.0,-5.0,57,Closed,2024-12-25,2027-08-29
320,46561,51687,Car,0.0,-5.0,0,Active,2023-11-23,2027-05-05
321,32013,59803,Personal,0.0,6.63,54,Active,2023-09-20,2025-01-29
322,27817,6331,Car,463180.59,5.03,0,Closed,2024-11-05,2025-09-23
323,30724,3920,Personal,-1000.0,12.36,0,Active,2026-01-01,2026-06-12
324,23435,68313,Home,0.0,13.95,44,Active,2023-06-04,2026-07-15
325,16554,60662,,283302.44,5.34,51,Closed,2025-01-20,2025-12-12 19:18:46.871131
