account_id,customer_id,branch_id,account_type,balance,open_date,status
129,8351,39,Savings,13059.21,2021-10-03,Closed
130,26772,14,Random,87817.19,2025-01-29,Mature
131,26432,47,Loan,9101.52,2022-09-23,Inactive
132,5201,17,FD,68730.03,2024-07-06,Active
133,32991,10,Loan,21457.6,2024-10-21,Unknown
134,16140,41,Savings,97882.41,2025-03-07,Inactive
135,4701,18,Savings,80892.34,2024-11-07,Closed
136,11107,20,FD,38089.86,2024-10-03,Inactive
137,5989,7,FD,67080.99,2026-09-01 19:18:46.871131,Active
138,16256,40,Savings,84486.11,2022-11-28,Mature
139,10899,34,Savings,45547.7,2022-09-14,Mature
140,37233,44,FD,79861.06,2023-10-26,Inactive
141,38860,46,FD,79547.47,2025-01-12,Mature
142,20277,16,Loan,97100.07,2021-11-12,Inactive
143,19309,39,Current,54501.75,2021-07-16,Mature
144,19056,50,Savings,5920.42,2022-09-30,Mature
145,45461,8,Current,56966.75,2022-03-06,Mature
146,14213,24,FD,51454.73,2024-11-21,Blocked
147,30080,41,Current,38999.93,2024-03-02,Inactive
148,3495,42,Savings,87063.92,2026-08-02 19:18:46.871131,Active
149,22512,42,Random,96435.93,2022-02-25,Mature
150,7910,45,Savings,81611.58,2024-12-24,Active
151,43383,44,Current,89002.94,2026-01-07,Inactive
152,24070,44,Current,7420.95,2025-08-12,Mature
153,21812,17,FD,56329.38,2026-11-05 19:18:46.871131,Mature
154,7926,47,FD,59002.57,2023-09-01,Unknown
155,9872,27,Current,97326.53,2021-12-24,Closed
156,18420,22,Savings,78587.34,2027-07-20 19:18:46.871131,Unknown
157,10338,14,Loan,84783.3,2023-01-07,Closed
158,1092,42,FD,63159.68,2022-08-13,Mature
159,43034,17,Loan,71305.41,2024-11-19,Mature
160,12388,34,Current,71994.61,2025-10-31,Closed
161,44123,35,FD,57840.11,2027-04-21 19:18:46.871131,Closed
162,2478,32,FD,15899.74,2025-07-10,Inactive
163,1573,23,FD,56927.35,2026-05-28 19:18:46.871131,Blocked
164,24153,9,Savings,61814.85,2025-09-10,Active
165,4381,41,FD,27141.88,2024-09-23,Unknown
166,11825,7,Random,88327.5,2023-03-29,Inactive
167,32600,35,Savings,39085.3,2023-12-16,Mature
168,9303,43,Current,88973.77,2021-06-24,Active
169,41266,23,Savings,15728.88,2024-12-22,Inactive
170,41549,24,Savings,17491.0,2027-10-08 19:18:46.871131,Active
171,15690,1,Savings,27478.89,2022-01-20,Blocked
172,19641,26,Savings,49648.25,2023-10-30,Active
173,48803,11,Current,53300.29,2024-03-03,Mature
174,13785,16,FD,16310.85,2023-06-11,Active
175,14956,5,Current,96153.94,2022-08-12,Closed
176,49811,46,Current,38563.91,2021-07-21,Active
177,1688,24,Current,86404.31,2022-08-04,Active
178,20958,43,Random,2175.88,2021-10-07,Active
179,49662,6,Current,96565.75,2024-03-09,Mature
180,48520,22,FD,50815.93,2025-06-14,Mature
181,25582,7,Savings,3733.88,2024-07-29,Inactive
182,27955,24,Savings,23779.61,2022-05-01,Mature
183,36163,35,Current,45454.78,2028-06-05 19:18:46.871131,Mature
184,1837,39,Savings,58020.36,2023-03-16,Inactive
185,6512,41,Savings,18788.32,2022-09-12,Active
186,32998,20,Savings,60560.66,2021-10-04,Active
187,10457,18,FD,33749.73,2027-07-08 19:18:46.871131,Mature
188,6982,12,Savings,97196.82,2028-04-07 19:18:46.871131,Inactive
189,46892,24,Current,41050.66,2024-03-14,Inactive
190,22754,20,Savings,91133.86,2022-03-27,Mature
191,37362,45,Savings,35500.92,2024-11-18,Inactive
192,6643,12,Current,32609.07,2022-05-12,Active
193,176,46,Current,36274.19,2022-04-24,Blocked
194,35325,42,Savings,97700.2,2021-04-19,Active
195,14297,37,Current,34083.02,2028-08-03 19:18:46.871131,Mature
196,46540,27,FD,87563.24,2026-02-21 19:18:46.871131,Closed
197,1607,4,Savings,3512.89,2027-09-01 19:18:46.871131,Inactive
198,364,25,FD,1501.34,2025-12-16,Mature
199,6274,26,Current,55383.97,2025-05-01,Active
200,36267,23,FD,65558.44,2023-07-26,Inactive
201,39462,33,Current,18492.26,2028-07-26 19:18:46.871131,Mature
202,17738,30,FD,91201.39,2026-05-17 19:18:46.871131,Inactive
203,11970,11,Current,26747.84,2023-09-21,Blocked
204,37285,11,Loan,27993.69,2027-06-01 19:18:46.871131,Unknown
205,25040,9,Random,36583.72,2025-11-23,Active
206,29231,39,Savings,75812.68,2022-05-27,Mature
207,12711,28,FD,70074.38,2025-11-16,Inactive
208,31820,36,Random,67378.74,2022-08-11,Mature
209,46723,24,FD,31359.23,2025-01-13,Unknown
210,23600,6,Current,24395.49,2023-02-20,Inactive
211,2854,36,Current,62703.57,2023-09-03,Active
212,15942,16,Current,14999.25,2021-12-09,Mature
213,22463,18,Current,99244.02,2023-02-09,Inactive
214,5820,38,Random,88307.97,2023-07-06,Inactive
215,4094,20,Current,11860.36,2025-02-10,Blocked
216,37104,29,Savings,95645.89,2022-05-07,Inactive
217,13708,10,Savings,74421.43,2023-08-19,Mature
218,29834,19,Current,66994.47,2024-08-29,Active
219,7904,49,Random,30244.97,2023-03-12,Mature
220,31664,19,FD,42654.3,2022-02-27,Mature
221,42389,26,FD,93662.76,2024-09-17,Inactive
222,11699,36,FD,58886.23,2023-12-29,Closed
223,30832,2,Current,82494.28,2022-02-04,Inactive
224,31192,15,Savings,63313.09,2028-07-25 19:18:46.871131,Active
225,30785,15,Savings,25204.18,2023-10-25,Blocked
226,22216,31,Current,82436.61,2025-10-22,Mature
227,11387,6,FD,75208.74,2026-07-02 19:18:46.871131,Mature
228,36900,40,Random,18928.27,2023-04-09,Inactive
229,16248,14,Loan,35376.23,2028-05-24 19:18:46.871131,Inactive
230,20258,10,Checking,13346.7,2022-04-22,Mature
231,48590,29,FD,69568.79,2026-06-21 19:18:46.871131,Active
232,3632,29,FD,56861.76,2024-08-24,Inactive
233,43724,46,Loan,24369.88,2025-06-07,Inactive
234,42401,39,FD,46263.28,2023-09-03,Mature
235,2544,39,FD,40417.56,2027-04-05 19:18:46.871131,Closed
236,4817,7,Current,26508.75,2028-10-14 19:18:46.871131,Mature
237,41018,35,FD,90614.54,2025-10-23,Blocked
238,46364,14,Loan,98078.6,2027-05-05 19:18:46.871131,Closed
239,28526,35,Current,57386.3,2022-08-12,Mature
240,40985,38,Savings,78487.19,2025-10-23,Active
241,22042,9,Savings,78747.26,2022-02-10,Unknown
242,39347,8,Checking,53324.82,2022-04-08,Mature
243,22436,26,FD,84170.01,2025-02-23,Inactive
244,49492,13,Current,86574.56,2022-02-24,Mature
245,31218,42,FD,86736.11,2022-07-02,Active
246,49559,16,FD,11204.07,2022-08-26,Active
247,29272,44,FD,37924.67,2028-03-28 19:18:46.871131,Active
248,26365,38,FD,53457.34,2022-06-10,Active
249,31060,40,Current,35733.16,2025-09-18,Inactive
250,7890,35,FD,43547.95,2027-06-22 19:18:46.871131,Mature
251,3019,32,Random,4386.92,2023-12-11,Active
252,15428,27,Current,17575.54,2023-04-23,Closed
253,46329,48,Loan,14211.74,2023-07-06,Blocked
254,39819,47,Random,96186.23,2023-09-29,Active
255,186,35,Random,88556.0,2023-09-21,Inactive
256,47172,16,Savings,76282.7,2027-08-23 19:18:46.871131,Closed
257,44918,9,Current,38197.75,2027-01-17 19:18:46.871131,Inactive
258,23250,18,Current,84587.18,2024-02-18,Inactive
259,34788,24,Current,36940.69,2021-07-11,Blocked
260,42932,42,Current,34532.26,2023-12-06,Active
261,17477,7,Current,35583.25,2023-12-29,Mature
262,33834,30,Savings,31107.33,2024-07-10,Mature
263,37509,36,Loan,57422.85,2025-05-12,Active
264,35689,16,Current,47819.2,2022-02-23,Inactive
265,744,2,Savings,57067.28,2025-10-14,Mature
266,17672,15,Random,28500.35,2023-07-27,Inactive
267,5685,5,FD,73583.9,2023-06-17,Inactive
268,22808,17,Current,62692.38,2025-01-13,Mature
269,2983,19,Current,95261.35,2023-11-18,Inactive
270,35449,8,Current,57009.01,2022-05-09,Unknown
271,49812,9,FD,39812.02,2024-09-05,Inactive
272,4518,22,Current,3382.82,2021-09-01,Blocked
273,3388,2,Savings,97882.03,2027-03-27 19:18:46.871131,Mature
274,19480,45,Savings,69857.44,2023-08-13,Inactive
275,34903,3,Savings,20116.22,2025-05-11,Mature
276,13609,20,FD,46442.97,2021-05-26,Mature
277,49786,30,Current,34889.54,2022-05-12,Mature
278,13035,20,FD,63692.58,2028-10-10 19:18:46.871131,Active
279,40034,34,FD,44266.94,2027-09-11 19:18:46.871131,Mature
280,32596,32,Savings,17593.2,2021-06-01,Mature
281,8758,12,Checking,39756.12,2024-11-07,Mature
282,11284,23,Savings,51434.59,2028-05-13 19:18:46.871131,Active
283,22408,16,FD,78748.72,2023-07-25,Mature
284,26872,28,Current,48776.46,2021-09-24,Active
285,2332,42,Current,11912.0,2022-10-06,Inactive
286,46753,4,Savings,53229.89,2021-12-10,Active
287,36162,15,FD,79998.17,2021-11-08,Mature
288,17546,19,FD,4084.12,2026-06-13 19:18:46.871131,Active
289,15908,22,FD,50155.97,2023-11-29,Active
290,34284,15,Random,81810.37,2025-08-05,Mature
291,16586,47,Loan,96845.06,2023-02-01,Mature
292,15198,37,Current,70630.64,2023-05-16,Closed
293,22317,41,Checking,67365.56,2027-03-06 19:18:46.871131,Mature
294,29377,38,FD,82358.89,2025-08-08,Active
295,24296,42,Current,3438.85,2025-12-19,Inactive
296,41740,43,Savings,17308.38,2025-12-12,Blocked
297,24527,5,Random,26060.03,2021-02-27,Inactive
298,36318,5,Current,74157.18,2027-11-24 19:18:46.871131,Unknown
299,23752,44,Checking,54459.49,2022-10-10,Blocked
300,8821,27,Checking,20806.15,2024-06-30,Active
301,11849,18,Current,6940.04,2028-05-05 19:18:46.871131,Active
302,1028,21,Checking,57079.07,2028-06-02 19:18:46.871131,Active
303,37166,47,Random,24135.76,2023-01-14,Active
304,3698,22,FD,29893.88,2025-03-22,Unknown
305,9777,21,FD,22507.66,2028-05-01 19:18:46.871131,Active
306,43352,12,FD,37514.75,2024-04-27,Mature
307,13713,5,FD,91166.5,2023-05-10,Active
308,25472,40,Current,62522.04,2023-04-20,Active
309,35424,12,Loan,91159.76,2025-10-20,Mature
310,45784,37,Savings,21324.56,2022-07-06,Closed
311,16844,5,Current,27787.99,2027-06-15 19:18:46.871131,Inactive
312,20363,14,Savings,23714.93,2028-02-22 19:18:46.871131,Closed
313,3231,34,Current,63548.06,2025-11-13,Mature
314,14733,36,Checking,88627.49,2023-10-31,Inactive
315,12274,31,Current,46865.34,2024-05-30,Inactive
316,22104,30,Random,74395.0,2027-12-19 19:18:46.871131,Mature
317,25702,19,Random,94321.41,2023-05-31,Mature
318,38493,7,Savings,30008.31,2027-10-19 19:18:46.871131,Inactive
319,45457,47,Savings,94196.93,2028-09-22 19:18:46.871131,Mature
320,47147,49,Random,20690.35,2024-02-04,Active
321,11815,47,FD,15725.96,2028-09-10 19:18:46.871131,Closed
322,31504,13,Savings,14026.69,2021-07-11,Active
323,36541,35,Savings,84764.26,2021-05-04,Active
324,36445,42,Savings,40456.49,2024-11-23,Inactive
325,46409,18,FD,55084.65,2022-01-20,Active
326,26837,43,Savings,58864.52,2021-05-01,Active
327,5030,27,Random,79507.67,2028-09-27 19:18:46.871131,Active
328,17366,10,FD,94992.8,2023-03-16,Active
329,28014,39,Current,17557.01,2028-10-27 19:18:46.871131,Active
330,6433,49,Savings,8740.4,2021-08-20,Inactive
331,6218,46,Current,19625.79,2024-06-04,Inactive
332,7304,22,Savings,53524.01,2025-11-03,Active
333,39366,20,Savings,76592.26,2023-04-03,Mature
334,38410,38,Random,73146.49,2022-02-15,Unknown
335,40726,36,Random,47174.97,2024-12-02,Inactive
336,36237,36,Current,66411.14,2024-01-15,Mature
337,33451,3,Current,30599.15,2028-08-20 19:18:46.871131,Mature
338,28340,15,Savings,52083.13,2024-01-24,Mature
339,978,32,Savings,2753.82,2024-07-23,Active
340,23498,18,Current,46471.17,2022-06-28,Mature
341,20475,29,Current,67846.22,2023-12-27,Blocked
342,12271,28,FD,33416.96,2021-03-19,Mature
343,15210,24,FD,41259.18,2023-12-10,Mature
344,26946,23,Savings,86573.26,2025-02-22,Inactive
345,35999,11,FD,96678.51,2025-07-29,Unknown
346,8093,15,Savings,89741.49,2023-12-13,Inactive
347,49167,38,Random,12479.05,2023-04-16,Active
348,36041,30,FD,12466.34,2023-01-14,Inactive
349,40655,48,Savings,65969.09,2023-01-05,Blocked
350,42137,12,Savings,70492.02,2022-06-14,Active
351,36482,4,Savings,80045.93,2021-09-02,Inactive
352,37116,37,Current,8849.32,2024-08-17,Active
353,38587,5,Savings,75881.88,2026-12-09 19:18:46.871131,Active
354,25387,48,Savings,18567.72,2025-01-11,Mature
355,23296,45,Loan,93131.13,2026-09-10 19:18:46.871131,Mature
356,20669,25,Checking,74318.21,2022-10-20,Mature
357,30826,8,Savings,86002.77,2026-01-17,Mature
358,16909,34,Savings,11369.49,2026-06-13 19:18:46.871131,Inactive
359,47781,37,FD,86248.61,2023-03-01,Inactive
360,1502,33,Current,95254.5,2025-07-17,Inactive
361,41761,45,Savings,53159.47,2021-09-01,Active
362,31549,10,Random,81471.09,2024-11-02,Inactive
363,12161,9,FD,75801.73,2021-10-24,Mature
364,37752,16,Random,21788.74,2023-04-27,Inactive
365,21640,20,Current,76336.89,2025-09-05,Unknown
366,24749,21,FD,30376.05,2024-09-16,Active
367,13586,16,Current,78062.86,2021-05-10,Mature
368,41080,4,FD,42703.12,2024-01-16,Mature
369,5401,16,Savings,98344.17,2027-12-23 19:18:46.871131,Inactive
370,33088,30,Random,76210.58,2024-06-05,Active
371,684,37,Current,1783.31,2025-09-02,Inactive
372,3006,6,Random,68677.73,2027-12-07 19:18:46.871131,Active
373,13849,30,Savings,76344.64,2022-06-07,Active
374,37932,12,Checking,21666.19,2025-04-19,Active
375,25495,26,Savings,96522.45,2024-09-15,Mature
376,22098,34,Current,62323.46,2028-02-02 19:18:46.871131,Unknown
377,35214,49,Savings,94705.39,2026-03-28 19:18:46.871131,Mature
378,35172,10,Savings,98728.87,2022-05-03,Inactive
379,11137,12,Savings,81769.24,2027-03-08 19:18:46.871131,Inactive
380,26740,36,Loan,34306.44,2023-10-15,Inactive
381,19970,36,Current,45575.78,2022-02-04,Inactive
382,35404,24,FD,3318.89,2023-10-16,Inactive
383,47474,2,Checking,34995.43,2022-04-22,Active
384,16466,24,Current,29024.23,2021-11-05,Mature
385,25710,39,Random,37022.59,2026-10-27 19:18:46.871131,Closed
386,16078,6,Checking,73309.08,2022-04-20,Blocked
387,9726,20,FD,64583.37,2024-06-25,Active
388,3879,9,FD,36937.71,2025-05-22,Active
389,44924,31,Random,46095.13,2023-01-23,Unknown
390,24048,11,Savings,25456.53,2023-08-13,Inactive
391,44116,5,FD,84979.92,2021-06-28,Inactive
392,7504,16,Savings,24776.59,2026-06-04 19:18:46.871131,Mature
393,42211,2,Random,69955.21,2025-07-16,Active
394,49780,33,Random,31816.07,2023-12-08,Inactive
395,32522,20,Current,1568.94,2022-06-26,Inactive
396,15454,41,Random,7752.28,2027-02-11 19:18:46.871131,Unknown
397,22254,46,Savings,42707.76,2024-10-27,Inactive
398,23218,25,FD,94971.28,2022-05-28,Active
399,14808,12,Savings,47733.23,2027-09-08 19:18:46.871131,Inactive
400,9935,47,FD,36166.36,2027-03-22 19:18:46.871131,Active
401,9514,9,Savings,37594.41,2024-12-18,Inactive
402,16639,12,FD,31474.27,2026-01-23,Unknown
403,18737,1,Random,69115.02,2028-05-20 19:18:46.871131,Active
404,42634,32,Current,74883.3,2024-06-18,Inactive
405,14012,8,FD,43677.52,2021-09-18,Inactive
406,14818,46,FD,30827.19,2021-10-05,Active
407,29305,18,FD,40953.69,2021-10-11,Closed
408,13266,10,Savings,71753.93,2023-07-23,Mature
409,1653,29,Savings,75394.66,2025-08-15,Blocked
410,20743,44,Savings,43824.89,2027-04-05 19:18:46.871131,Mature
411,31090,48,Loan,33945.56,2022-04-26,Active
412,49427,4,Loan,42058.47,2024-01-03,Mature
413,37131,3,FD,3540.0,2026-05-12 19:18:46.871131,Active
414,9560,43,FD,82833.03,2022-05-29,Blocked
415,32886,47,Savings,7853.99,2024-09-26,Inactive
416,13531,7,Savings,70213.63,2022-07-19,Active
417,46709,44,Random,41237.31,2024-07-09,Inactive
418,5818,23,FD,67449.04,2021-04-19,Mature
419,6095,22,FD,6939.15,2025-06-21,Closed
420,3042,39,Current,73426.94,2022-08-31,Blocked
421,20942,1,FD,31791.75,2028-10-26 19:18:46.871131,Closed
422,1781,28,FD,81021.33,2024-12-22,Active
423,20728,5,FD,98172.89,2025-07-06,Inactive
424,23358,3,Checking,70544.96,2022-12-10,Inactive
425,38193,22,Current,9455.45,2023-01-10,Closed
426,24748,42,Savings,48530.4,2022-09-15,Inactive
427,17062,13,Current,71388.83,2024-02-01,Mature
428,24655,25,Current,17877.33,2023-12-04,Inactive
429,44434,15,Current,62575.76,2022-05-21,Closed
430,9308,11,Random,36704.07,2028-07-18 19:18:46.871131,Inactive
431,5802,24,FD,75943.61,2024-01-10,Active
432,8467,11,Current,57280.08,2025-07-27,Closed
433,39479,40,Loan,35870.93,2028-10-14 19:18:46.871131,Active
434,33658,8,Savings,67575.93,2022-01-21,Unknown
435,34964,6,Current,94975.53,2022-08-03,Active
436,9455,25,Random,98340.93,2024-10-13,Mature
437,1525,32,Current,36476.31,2025-09-22,Mature
438,35105,45,FD,79406.04,2024-07-19,Active
439,5196,47,Checking,89431.27,2028-09-15 19:18:46.871131,Mature
440,35992,8,Savings,72813.86,2024-08-18,Inactive
441,24708,12,Checking,45082.34,2022-11-27,Active
442,1189,50,Current,37746.5,2023-07-14,Inactive
443,25854,2,Current,73302.56,2025-03-24,Closed
444,1250,38,Current,66964.01,2022-09-12,Mature
445,30853,8,Random,41881.97,2021-04-28,Blocked
446,35638,18,Savings,62900.87,2024-03-25,Mature
447,39291,9,FD,58234.85,2021-08-08,Unknown
448,30022,29,Savings,40473.5,2023-10-26,Active
449,33647,6,FD,68828.85,2022-05-11,Inactive
450,32553,22,Current,55863.81,2023-01-05,Blocked
451,26154,26,Current,5259.68,2024-05-08,Unknown
452,13122,43,FD,9642.67,2027-08-20 19:18:46.871131,Closed
453,45358,33,Current,32288.65,2023-05-23,Active
454,7276,15,Current,53676.44,2022-02-28,Mature
455,48860,50,Checking,55451.58,2026-02-05,Active
456,11659,6,FD,13390.32,2028-06-04 19:18:46.871131,Blocked
457,18967,13,FD,10612.64,2024-05-06,Active
458,14720,18,Savings,60458.43,2024-08-18,Closed
459,7683,25,Current,63233.49,2025-02-12,Inactive
460,14423,31,Loan,39539.91,2024-08-26,Active
461,49108,43,Current,81768.5,2023-07-06,Inactive
462,22807,9,FD,25650.54,2028-07-04 19:18:46.871131,Mature
463,11853,31,Savings,64695.47,2021-06-09,Inactive
464,13273,50,Savings,24249.31,2026-02-14,Inactive
465,6138,37,Random,76736.0,2028-06-28 19:18:46.871131,Inactive
466,9967,17,FD,83002.96,2023-10-16,Mature
467,31170,25,Loan,11706.2,2025-10-16,Mature
468,17569,50,Current,55177.82,2022-05-24,Active
469,16012,25,Random,56525.76,2022-04-24,Inactive
470,37174,4,Random,19794.06,2028-11-12 19:18:46.871131,Mature
471,15816,6,Current,7276.65,2022-04-09,Mature
472,33657,38,Checking,66348.69,2021-07-01,Inactive
473,26411,23,Savings,80101.12,2026-04-15 19:18:46.871131,Mature
474,22009,32,Current,16456.53,2024-08-04,Unknown
475,16751,44,FD,41840.3,2024-12-17,Inactive
476,32631,5,FD,87966.27,2025-02-02,Closed
477,47512,39,Checking,22894.52,2028-05-09 19:18:46.871131,Unknown
478,11361,17,FD,84907.98,2022-10-26,Active
479,14602,41,Loan,36417.83,2023-02-10,Inactive
480,17269,47,Current,29260.75,2023-10-07,Active
481,42756,17,Savings,26536.86,2025-02-13,Active
482,17530,28,Current,27328.81,2022-12-04,Unknown
483,39505,37,Random,46268.32,2021-08-16,Inactive
484,4419,13,Current,65109.25,2023-09-06,Inactive
485,9907,18,Random,75341.89,2027-10-21 19:18:46.871131,Inactive
486,26425,38,FD,36465.85,2024-08-12,Active
487,15440,29,Checking,61554.02,2022-05-17,Unknown
488,32568,11,Savings,61733.5,2027-06-24 19:18:46.871131,Mature
489,36116,19,Savings,93440.1,2025-09-06,Mature
490,10146,46,Savings,94636.06,2021-02-20,Inactive
491,4819,34,Savings,98868.65,2023-10-27,Blocked
