transaction_id,account_id,transaction_date,transaction_type,amount,channel,status,start_date,end_date
217,28664,2026-08-18 19:18:46.871131,Debit,18385.16,ATM,Failed,2026-08-18 19:18:46.871131,2026-08-19 19:18:46.871131
218,52155,2025-09-30,Debit,10924.35,NetBanking,Failed,2025-09-30,2025-10-01
219,59725,2024-10-12,Credit,42867.2,UPI,Failed,2024-10-12,2024-10-13
220,66631,2024-04-30,Credit,-100.0,NetBanking,Success,2024-04-30,2024-05-01
221,29623,2025-01-21,Credit,16092.1,NetBanking,Success,2025-01-21,2025-01-22
222,47309,2024-07-16,Credit,21889.53,ATM,Failed,2024-07-16,2024-07-17
223,31346,2024-09-21,Credit,28602.27,NetBanking,Failed,2024-09-21,2024-09-22
224,56878,2025-02-07,Credit,8183.23,UPI,Success,2025-02-07,2025-02-08
225,4318,2027-06-26 19:18:46.871131,Credit,31190.25,NetBanking,Success,2027-06-26 19:18:46.871131,2027-06-27 19:18:46.871131
226,2743,2024-04-12,Credit,0.0,ATM,Failed,2024-04-12,2024-04-13
227,13628,2024-09-29,Debit,47910.53,NetBanking,Failed,2024-09-29,2024-09-30
228,5904,2026-01-09,Credit,21882.85,UPI,Success,2026-01-09,2026-01-10
229,21442,2025-11-26,Debit,33189.05,ATM,Failed,2025-11-26,2025-11-27
230,59689,2024-12-26,Debit,28068.73,UPI,Failed,2024-12-26,2024-12-27
231,23315,2027-04-30 19:18:46.871131,Credit,39050.38,UPI,Success,2027-04-30 19:18:46.871131,2027-05-01 19:18:46.871131
232,44540,2024-10-29,Debit,36026.67,UPI,Failed,2024-10-29,2024-10-30
233,19378,2025-05-29,Credit,0.0,UPI,Failed,2025-05-29,2025-05-30
234,52423,2025-12-11,Credit,15790.78,UPI,Failed,2025-12-11,2025-12-12
235,2826,2025-03-24,Credit,24626.35,NetBanking,Failed,2025-03-24,2025-03-25
236,61433,2024-10-17,Debit,23930.44,UPI,Success,2024-10-17,2024-10-18
237,7208,2024-11-02,Credit,24953.74,UPI,Failed,2024-11-02,2024-11-03
238,23066,2026-02-14,Credit,25429.07,ATM,Success,2026-02-14,2026-02-15
239,11514,2025-11-24,Debit,9569.59,NetBanking,Success,2025-11-24,2025-11-25
240,2818,2026-07-25 19:18:46.871131,Debit,1569.31,ATM,Success,2026-07-25 19:18:46.871131,2026-07-26 19:18:46.871131
241,67917,2025-02-01,Credit,26732.8,UPI,Success,2025-02-01,2025-02-02
242,60857,2024-02-22,Debit,-100.0,NetBanking,Success,2024-02-22,2024-02-23
243,1753,2025-05-06,Credit,7399.26,ATM,Success,2025-05-06,2025-05-07
244,50625,2025-09-25,Debit,24626.86,UPI,Success,2025-09-25,2025-09-26
245,51202,2024-07-27,Credit,10365.08,UPI,Success,2024-07-27,2024-07-28
246,50340,2024-11-24,Credit,35937.01,ATM,Success,2024-11-24,2024-11-25
247,35486,2025-06-04,Debit,26839.3,UPI,Failed,2025-06-04,2025-06-05
248,67832,2027-03-30 19:18:46.871131,Credit,-100.0,NetBanking,Success,2027-03-30 19:18:46.871131,2027-03-31 19:18:46.871131
249,17574,2024-03-13,Credit,0.0,UPI,Failed,2024-03-13,2024-03-14
250,33923,2024-11-22,Debit,48716.64,NetBanking,Failed,2024-11-22,2024-11-23
251,33868,2024-06-29,Debit,40577.47,UPI,Success,2024-06-29,2024-06-30
252,6910,2025-08-22,Credit,-100.0,UPI,Success,2025-08-22,2025-08-23
253,67134,2024-07-20,Credit,3356.61,ATM,Failed,2024-07-20,2024-07-21
254,42425,2024-06-13,Debit,0.0,ATM,Success,2024-06-13,2024-06-14
255,26994,2027-04-21 19:18:46.871131,Debit,31815.54,ATM,Failed,2027-04-21 19:18:46.871131,2027-04-22 19:18:46.871131
256,53714,2024-08-17,Debit,48362.29,UPI,Success,2024-08-17,2024-08-18
257,60257,2025-05-22,Debit,582.52,NetBanking,Failed,2025-05-22,2025-05-23
258,67212,2026-09-23 19:18:46.871131,Credit,33562.53,NetBanking,Failed,2026-09-23 19:18:46.871131,2026-09-24 19:18:46.871131
259,61336,2025-02-20,Credit,-100.0,ATM,Failed,2025-02-20,2025-02-21
260,34552,2025-03-20,Credit,20253.28,NetBanking,Failed,2025-03-20,2025-03-21
261,2653,2025-05-17,Debit,46151.09,ATM,Success,2025-05-17,2025-05-18
262,24399,2024-11-16,Debit,7792.84,NetBanking,Success,2024-11-16,2024-11-17
263,36633,2026-07-19 19:18:46.871131,Debit,-100.0,ATM,Failed,2026-07-19 19:18:46.871131,2026-07-20 19:18:46.871131
264,1360,2025-10-30,Credit,44140.93,UPI,Failed,2025-10-30,2025-10-31
265,50920,2024-04-23,Debit,48739.73,UPI,Success,2024-04-23,2024-04-24
266,19656,2024-05-18,Debit,20560.97,ATM,Success,2024-05-18,2024-05-19
267,57927,2027-01-20 19:18:46.871131,Credit,13747.54,UPI,Success,2027-01-20 19:18:46.871131,2027-01-21 19:18:46.871131
268,6912,2026-01-10,Credit,3544.35,NetBanking,Success,2026-01-10,2026-01-11
269,29853,2024-12-11,Credit,31099.53,ATM,Success,2024-12-11,2024-12-12
270,27779,2025-01-15,Debit,9546.93,ATM,Failed,2025-01-15,2025-01-16
271,9257,2025-04-22,Credit,17982.3,ATM,Success,2025-04-22,2025-04-23
272,42273,2026-02-01,Debit,15488.9,UPI,Success,2026-02-01,2026-02-02
273,38096,2025-11-23,Credit,22489.01,ATM,Success,2025-11-23,2025-11-24
274,43350,2025-10-22,Credit,30549.75,ATM,Failed,2025-10-22,2025-10-23
275,55118,2027-03-27 19:18:46.871131,Debit,0.0,NetBanking,Failed,2027-03-27 19:18:46.871131,2027-03-28 19:18:46.871131
276,69492,2026-06-12 19:18:46.871131,Debit,-100.0,UPI,Success,2026-06-12 19:18:46.871131,2026-06-13 19:18:46.871131
277,20781,2025-04-27,Credit,0.0,ATM,Failed,2025-04-27,2025-04-28
278,23253,2025-06-09,Debit,37012.98,NetBanking,Failed,2025-06-09,2025-06-10
279,62970,2026-11-18 19:18:46.871131,Credit,31850.58,NetBanking,Failed,2026-11-18 19:18:46.871131,2026-11-19 19:18:46.871131
280,39794,2025-10-20,Debit,3352.08,ATM,Failed,2025-10-20,2025-10-21
281,46093,2025-06-21,Credit,5694.53,ATM,Success,2025-06-21,2025-06-22
282,65584,2026-01-02,Credit,34443.22,ATM,Failed,2026-01-02,2026-01-03
283,24806,2025-01-26,Credit,32963.65,ATM,Failed,2025-01-26,2025-01-27
284,16833,2025-08-25,Debit,39281.91,UPI,Failed,2025-08-25,2025-08-26
285,11390,2025-04-29,Credit,39360.59,ATM,Failed,2025-04-29,2025-04-30
286,63657,2026-04-22 19:18:46.871131,Credit,0.0,UPI,Success,2026-04-22 19:18:46.871131,2026-04-23 19:18:46.871131
287,65486,2024-05-22,Credit,18849.11,UPI,Success,2024-05-22,2024-05-23
288,3856,2027-04-08 19:18:46.871131,Credit,-100.0,ATM,Failed,2027-04-08 19:18:46.871131,2027-04-09 19:18:46.871131
289,53240,2025-08-09,Credit,7160.3,ATM,Failed,2025-08-09,2025-08-10
290,53616,2025-10-07,Debit,44073.12,ATM,Success,2025-10-07,2025-10-08
291,6719,2024-03-29,Credit,892.74,NetBanking,Failed,2024-03-29,2024-03-30
